LON,LAT,EDO,CLAVE,ESTACION,01/07/18,,,,,
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",44.0,,,,,
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",99.4,,,,,
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",111.9,,,,,
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",208.3,,,,,
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",120.8,,,,,
-93.078889,16.160278,CHIS,REVMEXICANACFE,"Revolucion Mexicana, Chis. CFE*",125.6,,,,,
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",138.7,,,,,
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",63.5,,,,,
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",53.8,,,,,
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",134.6,,,,,
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",144.4,,,,,
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula, Chis. CFE*",118.7,,,,,
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",63.9,,,,,
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",53.1,,,,,
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",53.2,,,,,
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",104.8,,,,,
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",90.0,,,,,
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",122.8,,,,,
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",102.0,,,,,
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",82.7,,,,,
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",169.0,,,,,
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",55.8,,,,,
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",212.8,,,,,
-93.820278,16.924722,CHIS,STAMARIACFE,"Santa MarÌa, Chis. CFE*",56.5,,,,,
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",73.2,,,,,
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",161.0,,,,,
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",125.0,,,,,
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",115.1,,,,,
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",205.2,,,,,
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",213.2,,,,,
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",61.6,,,,,
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",58.4,,,,,
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",51.5,,,,,
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",218.2,,,,,
-93.270833,16.233333,CHIS,VIFCP,"Villa Flores, Chis.",60.3,,,,,
-92.147222,15.091111,CHIS,VTACANA,"Volc·n Tacana, Chis. SMN*",240.8,,,,,
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",89.3,,,,,
-93.328333,17.120833,CHIS,YAMONHOCFE,"YamonhÛ, Chis. CFE*",96.0,,,,,
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",136.8,,,,,
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",18.7,,,,,
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",40.0,,,,,
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",41.5,,,,,
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",9.0,,,,,
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",48.0,,,,,
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",35.3,,,,,
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",34.0,,,,,
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",27.0,,,,,
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",42.0,,,,,
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",21.5,,,,,
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",19.8,,,,,
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",15.8,,,,,
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",31.2,,,,,
